Author,Topic_Score,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
France,5.0611708345893955,6.747598570914402,35,0.5384615384615385,0.0038148124432594013,0.5760104302477184,0.17799519768616376
CCAMLR,28.93572618289687,0.6465079030126548,4,0.06153846153846154,0.00010960321324245377,0.3734573119188504,0.019137878636828316
United Kingdom,15.895068655210004,8.89839788514796,38,0.5846153846153846,0.005769404379234289,0.6068681318681318,0.18828781574138917
United States,8.11166812477905,4.034702347562443,37,0.5692307692307692,0.0056055362374398555,0.5859416445623342,0.18409136962437536
Belarus,0.1625967034085534,0.000746268667687,1,0.015384615384615385,0.0,0.298110661268556,0.0040286225785291525
COMNAP,1.610051412155493,0.7459522566979232,23,0.35384615384615387,0.005702332813545819,0.472008547008547,0.11351477016169118
Australia,16.00987263230125,4.804333635410055,37,0.5692307692307692,0.005013154880836362,0.596221322537112,0.1851105807720434
New Zealand,15.788866293590196,5.4065347376503645,33,0.5076923076923077,0.011232319317140079,0.557124842370744,0.1679776969312417
SCAR,7.182917773952657,5.315125085201498,40,0.6153846153846154,0.05654745679625008,0.6293447293447293,0.17742145456941288
Netherlands,3.9791917931442673,4.161480173850332,34,0.5230769230769231,0.005261149471896532,0.5664102564102564,0.17338435504846975
Canada,0.5376307221891224,0.7405202411782131,16,0.24615384615384617,0.0009526233570351219,0.43570019723865877,0.08272279420930609
IHO,0.10540231570982136,0.0012658228012132,4,0.06153846153846154,0.0,0.3540064102564102,0.01838128437026378
WMO,0.36753049349987255,0.323409744507933,23,0.35384615384615387,0.004046769117527543,0.47865655471289276,0.11828801208395878
Chile,7.3347228730926295,5.179394654126241,40,0.6153846153846154,0.017515139405583,0.6293447293447293,0.18919508741683694
Norway,2.1871894863966017,3.1187795208280287,34,0.5230769230769231,0.0035380440095451166,0.5664102564102564,0.17317045493311536
Portugal,0.5624703848862018,1.5360531642554722,31,0.47692307692307695,0.002095152876007026,0.5394383394383394,0.16075559449507626
Argentina,5.722484377990376,4.5183348993198855,33,0.5076923076923077,0.008523858093236513,0.5481389578163771,0.1645073940279225
Korea (ROK),0.9211466559904782,0.9217405251037856,34,0.5230769230769231,0.002442814605603817,0.5664102564102564,0.17685360668577235
Bulgaria,0.25199562693145877,0.7509891504387444,34,0.5230769230769231,0.0030107800905075175,0.5664102564102564,0.17461398500049188
Germany,5.573311578945424,4.199324791969871,35,0.5384615384615385,0.0038148124432594013,0.5760104302477184,0.17799519768616376
Japan,0.6680318593545371,3.1523979398125688,31,0.47692307692307695,0.0013539147042190632,0.5394383394383394,0.16508678916833353
Belgium,5.187029489240379,5.8676331739134975,39,0.6000000000000001,0.00955577025694632,0.6179020979020978,0.1892673449444777
Spain,1.81121401387278,2.6241273766057143,36,0.5538461538461539,0.004954424458418157,0.5859416445623342,0.1817365545157199
Sweden,1.191109369052151,3.2830356845421145,33,0.5076923076923077,0.004084000836119353,0.5481389578163771,0.17063559610418122
India,0.585483682968776,0.7152265523076997,35,0.5384615384615385,0.0028474357798908686,0.5760104302477184,0.1805024771099885
Italy,2.4820978436682046,2.836961185155518,33,0.5076923076923077,0.002020103011457463,0.5481389578163771,0.17186522605620333
Poland,1.1502726696493062,4.246474312898096,35,0.5384615384615385,0.004284126197283537,0.5760104302477184,0.17838601122488504
South Africa,1.6512815124451643,3.8179976564005607,34,0.5230769230769231,0.003878453153429962,0.5664102564102564,0.17245898367108764
Türkiye,0.10839267154871078,0.6470891084400874,26,0.4,0.026515194564067642,0.4997737556561086,0.12656899381228495
IAATO,3.0331717676685037,0.5386173172690596,34,0.5230769230769231,0.011981297197975301,0.557124842370744,0.16827090600867697
ASOC,13.610644203904942,0.3023520779432445,21,0.3230769230769231,0.0019551062991369312,0.4592515592515592,0.10861833923705756
Uruguay,1.120007154902435,0.47868249661978846,31,0.47692307692307695,0.006813420482599979,0.514918414918415,0.15384368849663219
Switzerland,0.0011294290351169,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Ecuador,0.758892853731337,1.0003288235361238,12,0.18461538461538463,0.001978745255250822,0.395169946332737,0.05156633118473729
Brazil,1.646255122316306,1.5985692965998535,32,0.49230769230769234,0.009534526713659265,0.5394383394383394,0.15640369258665626
Peru,1.2516186346111964,0.9453779229787238,29,0.4461538461538462,0.010541069935169055,0.4997737556561086,0.14205625323964288
Colombia,0.047173934270132,0.004598518810135999,8,0.12307692307692308,0.0005086908705329758,0.3776068376068376,0.03222690952214027
Venezuela,0.0005978993795524999,0.0041852956568675,7,0.1076923076923077,0.0,0.36939799331103684,0.028322574077634898
China,1.151828748213244,3.3807012702524757,22,0.3384615384615385,0.00033360710318028385,0.4655426765015806,0.12018627974153184
Malaysia,0.0020531692982699,0.0027298851172559003,19,0.2923076923076923,0.0,0.447165991902834,0.1029982983027776
Finland,1.0132111121807552,2.8319941772712562,36,0.5538461538461539,0.007511236237568774,0.5859416445623342,0.17833377188450977
Ukraine,1.2319529897163637,0.19277838101136868,26,0.4,0.00046051586084387767,0.49253065774804905,0.14227709110951464
Czechia,1.2740352722583488,4.477043495938971,34,0.5230769230769231,0.002442814605603817,0.5664102564102564,0.17685360668577235
IUCN,5.727686565502262,0.6556035055953618,2,0.03076923076923077,0.0,0.3540064102564102,0.010993746767068035
Russian Federation,3.310854115998009,4.824253994868501,29,0.4461538461538462,0.0011705086616292091,0.514918414918415,0.15343183870681787
Monaco,0.42613475957562924,1.7934670307347467,11,0.16923076923076924,2.4038461538461542e-05,0.4045787545787546,0.0610437971061617
IGP&I Clubs,0.0010438504702475,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Romania,0.41654340062413836,0.007497251521772047,22,0.3384615384615385,0.00035138964848278333,0.4655426765015806,0.11714875138534961
IOPC Funds,0.0001396648077236,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Estonia,0.0010559378423992,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
ICAO,0.0011904762098754,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
ACAP,0.7426634429163685,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
IMO,0.06142925802985096,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Iceland,0.0007936508136323,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Kazakhstan,0.0008474576360566,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
IPCC,0.0536222346719509,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Austria,0.0014544548226841998,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
UNEP,0.7802650315708646,0.48738689661493806,6,0.09230769230769231,0.0,0.36939799331103684,0.031754666863451624
IPY-IPO,0.1183839030313977,0.0114484044443217,1,0.015384615384615385,0.0,0.3398461538461538,0.0056472236893703185
ATS,0.24206381293231288,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
IOC,0.509000807095372,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Greece,0.0057684986598919,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Slovakia,0.0005747126559205,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Denmark,0.0019785760430862,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
Korea (DPRK),0.0013276397700725,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
WTO,0.0003521126829296,0.0,0,0.0,0.0,0.0,1.3663452255832798e-10
