Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
treaty,marine,comnap,site,change,area,polar,area,ocean,water,cep,information,station,ship,specie,environmental,research,iaato,activity,ice
protocol,ccamlr,national,visitor,ice,protected,research,management,southern,environment,discussion,data,waste,vessel,penguin,impact,scientific,season,tourism,area
article,area,program,guideline,climate,value,data,plan,marine,impact,group,database,base,water,population,monitoring,scar,expedition,treaty,station
protection,conservation,operation,visit,sea,activity,observation,island,world,marine,paper,exchange,fuel,area,seal,activity,science,member,non,island
environmental,workshop,information,landing,global,protection,arctic,aspa,global,biological,draft,cep,inspection,ice,bird,assessment,international,operator,operator,study
consultative,scientific,system,peninsula,ocean,proposed,region,permit,ecosystem,result,working,section,operation,safety,non,environment,programme,vessel,regulation,snow
state,committee,aircraft,number,model,scientific,project,protected,sea,ice,intersessional,resource,activity,operating,risk,site,project,activity,protocol,research
convention,management,support,island,temperature,draft,system,specially,system,area,recommendation,map,environmental,operation,introduction,management,national,tourism,tourist,sea
measure,protection,air,visited,region,environmental,network,map,international,surface,review,access,facility,polar,island,project,group,tourist,state,activity
provision,cep,workshop,tourist,peninsula,research,station,south,conservation,environmental,information,tool,building,emergency,human,human,cooperation,information,national,bay
environment,convention,operator,ship,ecosystem,specially,international,site,region,study,agreed,list,personnel,sea,region,process,activity,landing,authority,south
force,ecosystem,operational,tourism,research,cep,activity,revised,policy,condition,guideline,treaty,team,international,plant,evaluation,scientist,number,impact,site
area,measure,australia,season,southern,feature,institute,bay,regional,natural,consideration,point,summer,response,conservation,data,support,non,measure,point
agreement,protected,member,area,science,human,climate,scientific,research,low,proposed,collection,expedition,guideline,number,change,committee,ship,environmental,scientific
recommendation,member,exchange,activity,future,conduct,global,section,development,effect,member,resolution,equipment,equipment,biological,term,country,visit,environment,structure
procedure,monitoring,treaty,specific,ross,management,service,designated,programme,system,plan,environmental,scientific,pollution,area,information,program,field,take,survey
conservation,system,group,management,data,environment,ice,review,action,technology,committee,paper,season,state,distribution,potential,treaty,operation,system,field
decision,resource,practice,impact,recent,site,weather,measure,management,temperature,participant,website,research,requirement,southern,effect,collaboration,guideline,place,surface
adopted,living,safety,expedition,past,protocol,study,peninsula,community,fuel,final,national,system,risk,terrestrial,analysis,development,support,action,ross
resource,representative,survey,point,increase,managed,model,value,knowledge,possible,process,system,treaty,condition,data,action,university,program,principle,water
item,development,response,vessel,system,plan,high,zone,service,present,treaty,protected,area,marine,scar,result,polar,treaty,approach,summer
international,data,area,guide,response,aspa,information,access,climate,process,expert,requirement,protocol,system,ecosystem,protocol,institute,national,number,data
status,specie,recommendation,information,scale,consideration,earth,point,pollution,method,suggested,management,plan,control,status,risk,community,following,consultative,east
list,agreed,facility,recommendation,impact,proposal,national,visit,priority,plant,proposal,guide,impact,convention,high,method,field,annual,development,location
date,objective,working,location,current,system,program,special,future,high,term,final,support,information,found,study,held,visitor,resolution,season
