Author,Topic_Score,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
United Kingdom,22.8627473490702,61.506946472613265,3,0.3333333333333333,0.013888888888888888,0.35555555555555557,2.1339009970791645e-05
Chile,6.426684075768996,45.46701817364598,4,0.4444444444444444,0.09722222222222221,0.4444444444444444,2.373727397170706e-05
Spain,3.910554687615688,27.982927138481752,2,0.2222222222222222,0.0,0.2962962962962963,1.6784787392276994e-05
Australia,12.166908344826055,24.119185757122626,4,0.4444444444444444,0.08333333333333333,0.4444444444444444,0.5235630220344263
Netherlands,0.9499998256594068,1.8999996513188135,1,0.1111111111111111,0.0,0.25396825396825395,0.1696503350483564
United States,12.672078687283584,13.989776402009223,1,0.1111111111111111,0.0,0.25396825396825395,8.8389073375166e-06
Argentina,3.6733688972224368,24.677625579267513,2,0.2222222222222222,0.0,0.2962962962962963,1.6784787392276994e-05
India,1.6741326987419205,10.96596805579599,3,0.3333333333333333,0.0,0.35555555555555557,0.48204443920858703
China,3.3753899825322744,15.247912380311483,3,0.3333333333333333,0.0,0.35555555555555557,0.48204443920858703
Russian Federation,0.8193110322746876,9.256324722861523,3,0.3333333333333333,0.0,0.35555555555555557,0.48204443920858703
